City,Yellow,,Orange,,Red,
,Start_Time,End_Time,Start_Time,End_Time,Start_Time,End_Time
,24/11/2018,26/11/2018,03/01/2019,15/01/2019,12/01/2020,14/01/2020
,09/12/2018,11/12/2018,17/01/2019,21/01/2019,,
,16/03/2019,24/03/2019,26/01/2019,31/01/2019,,
,10/10/2019,14/10/2019,02/02/2019,15/03/2019,,
,18/10/2019,19/10/2019,01/10/2019,02/10/2019,,
,14/11/2019,15/11/2019,20/10/2019,23/10/2019,,
,20/11/2019,23/11/2019,31/10/2019,09/11/2019,,
,29/11/2019,30/11/2019,16/11/2019,16/11/2019,,
,05/12/2019,09/12/2019,12/12/2019,15/12/2019,,
,02/01/2020,02/01/2020,20/12/2019,22/12/2019,,
,,,25/12/2019,31/12/2019,,
,,,03/01/2020,11/01/2020,,
,,,15/01/2020,31/01/2020,,
,,,25/11/2020,30/12/2020,,
,,,20/01/2021,25/01/2021,,
,,,07/01/2022,10/01/2022,,
,,,19/01/2022,29/01/2022,,
Yuncheng,08/12/2018,12/12/2018,29/11/2018,05/12/2018,22/12/2019,25/12/2019
,23/01/2019,29/01/2019,30/12/2018,30/12/2018,22/01/2021,26/01/2021
,12/02/2019,15/02/2019,08/01/2019,15/01/2019,04/01/2022,10/01/2022
,06/03/2019,22/03/2019,17/01/2019,19/01/2019,,
,10/10/2019,14/10/2019,16/02/2019,05/03/2019,,
,18/10/2019,19/10/2019,01/10/2019,02/10/2019,,
,14/11/2019,17/11/2019,20/10/2019,24/10/2019,,
,21/11/2019,23/11/2019,31/10/2019,10/11/2019,,
,01/01/2020,01/01/2020,03/12/2019,16/12/2019,,
,06/01/2020,06/01/2020,19/12/2019,21/12/2019,,
,19/02/2020,27/02/2020,26/12/2019,31/12/2019,,
,,,02/01/2020,05/01/2020,,
,,,07/01/2020,02/02/2020,,
,,,08/02/2020,14/02/2020,,
,,,24/11/2020,30/12/2020,,
,,,18/01/2021,21/01/2021,,
,,,24/11/2021,29/11/2021,,
,,,03/12/2021,03/01/2022,,
,,,19/01/2022,10/02/2022,,
Xinzhou,10/10/2019,11/10/2019,01/10/2019,02/10/2019,,
,18/10/2019,19/10/2019,20/10/2019,23/10/2019,,
,04/11/2019,09/11/2019,31/10/2019,03/11/2019,,
,20/11/2019,23/11/2019,12/12/2019,15/12/2019,,
,05/12/2019,09/12/2019,20/12/2019,14/02/2020,,
,,,14/11/2020,18/11/2020,,
,,,28/11/2020,31/12/2020,,
,,,20/01/2021,01/02/2021,,
,,,09/02/2021,15/02/2021,,
,,,24/02/2021,28/02/2021,,
,,,06/03/2021,15/03/2021,,
,,,05/11/2021,06/11/2021,,
,,,13/11/2021,19/11/2021,,
,,,25/11/2021,29/11/2021,,
,,,07/12/2021,15/12/2021,,
,,,21/12/2021,10/01/2022,,
